##dt = 0.001
#time; temp; press; pe
# Fix print output for fix out
0; 1000.0000000000014779; 8313.8641561501135584; -2102.2562248999556687
0.2000000000000000111; 497.29692726127620972; 4440.9626671015021202; -2053.7384900602492053
0.4000000000000000222; 493.37631222594546898; -4732.203756533746855; -2047.1491719870318775
0.5999999999999999778; 478.09980111704066985; -6855.0742865407764839; -2049.4922418747328265
0.80000000000000004441; 474.97374081630795217; -2799.4347039861368103; -2051.6967522930972336
1; 512.44306173110931013; 944.12811612289522145; -2051.3573610980151898
1.1999999999999999556; 488.12273210705080828; 4261.0143499797741242; -2050.3814444188378729
1.4000000000000001332; 512.85202789008690161; 2718.0316006845864649; -2052.7631969668386773
1.6000000000000000888; 467.59652014050340085; 290.08142909013196231; -2050.9274756047884694
1.8000000000000000444; 477.50255287815542715; -454.23337714063126214; -2050.2516658834997543
2; 526.65056955498391744; -1564.6457323354950404; -2050.2065822978506731
2.2000000000000001776; 492.87157242780364186; 718.30398464747884191; -2051.5399441030249363
2.3999999999999999112; 488.66590265349975652; 1120.3043962729300347; -2052.3642819010265157
2.6000000000000000888; 501.20743663735470363; 1114.7879380723063605; -2050.416085578379807
2.8000000000000002665; 542.61745806604142217; -40.218067848185349078; -2049.7338600664343176
3; 502.2264468740336838; -717.07603315848632519; -2052.2519374427552066
3.2000000000000001776; 466.36686506124294738; -64.707730113458552523; -2054.0449091359896556
3.3999999999999999112; 496.05075242382014267; 324.60549967246754477; -2053.7782524434251172
3.6000000000000000888; 517.84738747789947411; 1207.9014179758883074; -2052.8263109392241859
3.8000000000000002665; 478.17554922467252254; 715.08405755817977933; -2053.1465074747484323
4; 485.47285865892729362; -162.66280246593788661; -2057.4241980860697367
4.2000000000000001776; 508.04238367062254156; -947.33438602941021145; -2055.6264986647720434
4.4000000000000003553; 513.14043049890949533; -219.5198679427776085; -2054.4848089906377027
4.6000000000000005329; 479.85758121791542408; -463.10600315025669715; -2053.5914000617176498
4.7999999999999998224; 492.57216732755927069; -2484.3496831258662496; -2055.5070256292001432
5; 535.61469352871677074; -896.33149081157330329; -2056.3454940067344978
5.2000000000000001776; 522.76339601375104849; 903.72585555006139657; -2058.2823942809500295
5.4000000000000003553; 477.65315754796080228; 3167.0214265608938149; -2058.5897658701201181
5.6000000000000005329; 497.20015823395016241; 2006.9659146232133935; -2056.1389650920409622
5.7999999999999998224; 480.91890426538788006; -280.02040193264201662; -2051.0080305527339988
6; 500.75609949772405116; -2695.2306780926555803; -2054.0411891678272696
6.2000000000000001776; 472.91700278230371168; -2067.4872903302816667; -2052.8676873490539947
6.4000000000000003553; 471.20381930297071449; 1662.0110658899627651; -2053.7267556680653797
6.6000000000000005329; 508.61846825907718994; 6415.4668830933660502; -2058.2274263218387205
6.7999999999999998224; 531.21555662643072537; 5965.3758706546514077; -2055.9349341394572548
7; 501.86993870409986584; 967.4120785907350637; -2055.1710610950813134
7.2000000000000001776; 458.54536782108891657; -2253.2158489140520032; -2055.4809598066744911
7.4000000000000003553; 481.91938188356056116; -3509.514461594257682; -2053.7568363390514605
7.6000000000000005329; 505.69018326845508682; -1720.3009943023241703; -2053.7967551814735998
7.7999999999999998224; 507.3961589559926324; 297.1121694065786869; -2055.9709904242808989
8; 510.8711406994087838; 2308.2301107640437294; -2056.900457390349402
8.1999999999999992895; 505.30981584177084187; 2086.2373114184697442; -2055.4996534962224359
8.4000000000000003553; 496.52096856010462034; -212.5195823211752213; -2054.0594346619550379
8.5999999999999996447; 507.08573067214308594; -1042.0792062944080953; -2054.9553593001155605
8.8000000000000007105; 495.21124025461278961; -2289.8031722664836707; -2055.6499600352699417
9; 523.82712145930304359; -1709.8894859097124481; -2053.4831651606282321
9.2000000000000010658; 497.85018625674717896; 410.41725625979847791; -2055.435437796440965
9.4000000000000003553; 509.4862161936175653; 949.84681897321490851; -2058.3781674106376158
9.5999999999999996447; 485.08641292829270242; 1458.2190168792346867; -2057.2923401426678538
9.8000000000000007105; 511.40070601267609618; -1430.9904765371823032; -2055.5499877194756664
10; 476.0896377103401278; -1311.0003507652329517; -2053.4931427061696922
10.200000000000001066; 463.45517738780517902; 1025.4234154708417464; -2055.2652445679768789
10.400000000000000355; 499.0050414267103065; 2394.0000817197083052; -2055.5119232153224402
10.599999999999999645; 512.7769738293585533; 2121.8658001531794071; -2054.7185162748710354
10.800000000000000711; 509.76208656154557275; -1038.4525337957406919; -2056.1924378157768842
11; 489.63429944992196852; -930.80243412375443768; -2053.9737519039854305
11.200000000000001066; 471.21491662499852282; -1662.1663672585341374; -2055.7973152484823913
11.400000000000000355; 495.16887814785781075; -657.90633902858940019; -2054.6230070690226057
11.599999999999999645; 500.55485169782468802; 2903.6352064783600326; -2052.8473392999399039
11.800000000000000711; 532.36620713704019181; 2224.4454171417332873; -2054.838419265056018
12; 465.69123637965503804; 3075.7067027138214144; -2053.0425449204517463
12.200000000000001066; 496.18729618648706037; -12.103362462880131289; -2056.0132512831896747
12.400000000000000355; 465.91223657300827199; -159.85402560269392325; -2056.3730187189839853
12.599999999999999645; 498.83177030030088872; -2499.9878680387669192; -2054.6466627078107194
12.800000000000000711; 493.69328066923770848; -1901.0195998686106122; -2053.7556200869194072
13; 477.15096400108654962; 660.11744472915916049; -2055.2032839099015291
13.200000000000001066; 501.55104488013205355; 4288.0694798605545657; -2056.2332620765450883
13.400000000000000355; 514.5616526768537824; 3634.1124244917032229; -2052.6479055273571248
13.599999999999999645; 504.65283176673011667; -402.96002850121300298; -2053.9472830054965016
